# pixel vinkelx vinkely
719 -0.042902 0.000331
720 -0.042569 0.000331
721 -0.042235 0.000331
722 -0.041901 0.000331
723 -0.041568 0.000331
724 -0.041234 0.000331
725 -0.040901 0.000331
726 -0.040567 0.000331
727 -0.040234 0.000331
728 -0.039901 0.000331
729 -0.039567 0.000331
730 -0.039234 0.000331
731 -0.038901 0.000331
732 -0.038568 0.000331
733 -0.038235 0.000331
734 -0.037902 0.000331
735 -0.037569 0.000331
736 -0.037236 0.000331
737 -0.036903 0.000331
738 -0.036570 0.000331
739 -0.036237 0.000331
740 -0.035905 0.000331
741 -0.035572 0.000331
742 -0.035239 0.000331
743 -0.034907 0.000331
744 -0.034574 0.000331
745 -0.034241 0.000331
746 -0.033909 0.000331
747 -0.033577 0.000331
748 -0.033244 0.000331
749 -0.032912 0.000331
750 -0.032580 0.000331
751 -0.032247 0.000331
752 -0.031915 0.000331
753 -0.031583 0.000331
754 -0.031251 0.000331
755 -0.030919 0.000331
756 -0.030587 0.000331
757 -0.030255 0.000331
758 -0.029923 0.000331
759 -0.029591 0.000331
760 -0.029259 0.000331
761 -0.028928 0.000331
762 -0.028596 0.000331
763 -0.028264 0.000331
764 -0.027933 0.000331
765 -0.027601 0.000331
766 -0.027270 0.000331
767 -0.026938 0.000331
768 -0.026607 0.000331
769 -0.026275 0.000331
770 -0.025944 0.000331
771 -0.025613 0.000331
772 -0.025281 0.000331
773 -0.024950 0.000331
774 -0.024619 0.000331
775 -0.024288 0.000331
776 -0.023957 0.000331
777 -0.023626 0.000331
778 -0.023295 0.000331
779 -0.022964 0.000331
780 -0.022633 0.000331
781 -0.022302 0.000331
782 -0.021972 0.000331
783 -0.021641 0.000331
784 -0.021310 0.000331
785 -0.020980 0.000331
786 -0.020649 0.000331
787 -0.020318 0.000331
788 -0.019988 0.000331
789 -0.019657 0.000331
790 -0.019327 0.000331
791 -0.018997 0.000331
792 -0.018666 0.000331
793 -0.018336 0.000331
794 -0.018006 0.000331
795 -0.017676 0.000331
796 -0.017345 0.000331
797 -0.017015 0.000331
798 -0.016685 0.000331
799 -0.016355 0.000331
800 -0.016025 0.000331
801 -0.015695 0.000331
802 -0.015366 0.000331
803 -0.015036 0.000331
804 -0.014706 0.000331
805 -0.014376 0.000331
806 -0.014047 0.000331
807 -0.013717 0.000331
808 -0.013387 0.000331
809 -0.013058 0.000331
810 -0.012728 0.000331
811 -0.012399 0.000331
812 -0.012069 0.000331
813 -0.011740 0.000331
814 -0.011411 0.000331
815 -0.011081 0.000331
816 -0.010752 0.000331
817 -0.010423 0.000331
818 -0.010094 0.000331
819 -0.009765 0.000331
820 -0.009436 0.000331
821 -0.009107 0.000331
822 -0.008778 0.000331
823 -0.008449 0.000331
824 -0.008120 0.000331
825 -0.007791 0.000331
826 -0.007462 0.000331
827 -0.007134 0.000331
828 -0.006805 0.000331
829 -0.006476 0.000331
830 -0.006148 0.000331
831 -0.005819 0.000331
832 -0.005490 0.000331
833 -0.005162 0.000331
834 -0.004833 0.000331
835 -0.004505 0.000331
836 -0.004177 0.000331
837 -0.003848 0.000331
838 -0.003520 0.000331
839 -0.003192 0.000331
840 -0.002864 0.000331
841 -0.002536 0.000331
842 -0.002208 0.000331
843 -0.001879 0.000331
844 -0.001551 0.000331
845 -0.001224 0.000331
846 -0.000896 0.000331
847 -0.000568 0.000331
848 -0.000240 0.000331
849 0.000088 0.000331
850 0.000416 0.000331
851 0.000743 0.000331
852 0.001071 0.000331
853 0.001399 0.000331
854 0.001726 0.000331
855 0.002054 0.000331
856 0.002381 0.000331
857 0.002709 0.000331
858 0.003036 0.000331
859 0.003363 0.000331
860 0.003691 0.000331
861 0.004018 0.000331
862 0.004345 0.000331
863 0.004672 0.000331
864 0.005000 0.000331
865 0.005327 0.000331
866 0.005654 0.000331
867 0.005981 0.000331
868 0.006308 0.000331
869 0.006635 0.000331
870 0.006962 0.000331
871 0.007288 0.000331
872 0.007615 0.000331
873 0.007942 0.000331
874 0.008269 0.000331
875 0.008595 0.000331
876 0.008922 0.000331
877 0.009249 0.000331
878 0.009575 0.000331
879 0.009902 0.000331
880 0.010228 0.000331
881 0.010555 0.000331
882 0.010881 0.000331
883 0.011207 0.000331
884 0.011534 0.000331
885 0.011860 0.000331
886 0.012186 0.000331
887 0.012512 0.000331
888 0.012838 0.000331
889 0.013165 0.000331
890 0.013491 0.000331
891 0.013817 0.000331
892 0.014143 0.000331
893 0.014469 0.000331
894 0.014794 0.000331
895 0.015120 0.000331
896 0.015446 0.000331
897 0.015772 0.000331
898 0.016098 0.000331
899 0.016423 0.000331
900 0.016749 0.000331
901 0.017075 0.000331
902 0.017400 0.000331
903 0.017726 0.000331
904 0.018051 0.000331
905 0.018377 0.000331
906 0.018702 0.000331
907 0.019027 0.000331
908 0.019353 0.000331
909 0.019678 0.000331
910 0.020003 0.000331
911 0.020328 0.000331
912 0.020653 0.000331
913 0.020979 0.000331
914 0.021304 0.000331
915 0.021629 0.000331
916 0.021954 0.000331
917 0.022279 0.000331
918 0.022604 0.000331
919 0.022928 0.000331
920 0.023253 0.000331
921 0.023578 0.000331
922 0.023903 0.000331
923 0.024227 0.000331
924 0.024552 0.000331
925 0.024877 0.000331
926 0.025201 0.000331
927 0.025526 0.000331
928 0.025850 0.000331
929 0.026175 0.000331
930 0.026499 0.000331
931 0.026824 0.000331
932 0.027148 0.000331
933 0.027472 0.000331
934 0.027797 0.000331
935 0.028121 0.000331
936 0.028445 0.000331
937 0.028769 0.000331
938 0.029093 0.000331
939 0.029417 0.000331
940 0.029741 0.000331
941 0.030065 0.000331
942 0.030389 0.000331
943 0.030713 0.000331
944 0.031037 0.000331
945 0.031361 0.000331
946 0.031685 0.000331
947 0.032009 0.000331
948 0.032332 0.000331
949 0.032656 0.000331
950 0.032980 0.000331
951 0.033303 0.000331
952 0.033627 0.000331
953 0.033950 0.000331
954 0.034274 0.000331
955 0.034597 0.000331
956 0.034921 0.000331
957 0.035244 0.000331
958 0.035567 0.000331
959 0.035891 0.000331
960 0.036214 0.000331
961 0.036537 0.000331
962 0.036860 0.000331
963 0.037184 0.000331
964 0.037507 0.000331
965 0.037830 0.000331
966 0.038153 0.000331
967 0.038476 0.000331
968 0.038799 0.000331
969 0.039122 0.000331
970 0.039445 0.000331
971 0.039767 0.000331
972 0.040090 0.000331
973 0.040413 0.000331
974 0.040736 0.000331
975 0.041058 0.000331
976 0.041381 0.000331
977 0.041704 0.000331
978 0.042026 0.000331
979 0.042349 0.000331
980 0.042671 0.000331
981 0.042994 0.000331
982 0.043316 0.000331
983 0.043639 0.000331
984 0.043961 0.000331
985 0.044283 0.000331
986 0.044605 0.000331
987 0.044928 0.000331
988 0.045250 0.000331
989 0.045572 0.000331
990 0.045894 0.000331
991 0.046216 0.000331
992 0.046538 0.000331
993 0.046860 0.000331
994 0.047182 0.000331
995 0.047504 0.000331
996 0.047826 0.000331
997 0.048148 0.000331
998 0.048470 0.000331
999 0.048792 0.000331
1000 0.049113 0.000331
1001 0.049435 0.000331
1002 0.049757 0.000331
1003 0.050078 0.000331
1004 0.050400 0.000331
1005 0.050722 0.000331
1006 0.051043 0.000331
1007 0.051365 0.000331
1008 0.051686 0.000331
1009 0.052008 0.000331
1010 0.052329 0.000331
1011 0.052650 0.000331
1012 0.052972 0.000331
1013 0.053293 0.000331
1014 0.053614 0.000331
1015 0.053935 0.000331
1016 0.054257 0.000331
1017 0.054578 0.000331
1018 0.054899 0.000331
1019 0.055220 0.000331
1020 0.055541 0.000331
1021 0.055862 0.000331
1022 0.056183 0.000331
1023 0.056504 0.000331
1024 0.056825 0.000331
1025 0.057146 0.000331
1026 0.057466 0.000331
1027 0.057787 0.000331
1028 0.058108 0.000331
1029 0.058429 0.000331
1030 0.058749 0.000331
1031 0.059070 0.000331
1032 0.059391 0.000331
1033 0.059711 0.000331
1034 0.060032 0.000331
1035 0.060352 0.000331
1036 0.060673 0.000331
1037 0.060993 0.000331
1038 0.061313 0.000331
1039 0.061634 0.000331
1040 0.061954 0.000331
1041 0.062274 0.000331
1042 0.062595 0.000331
